Sample,source,community,days,filtered
SRR9953950,bittleston_M09,bittleston_M09_filtered,48,filtered
SRR9954011,bittleston_M07,bittleston_M07_filtered,51,filtered
SRR9954013,bittleston_M06,bittleston_M06_unfiltered,48,unfiltered
SRR9954018,bittleston_M06,bittleston_M06_filtered,42,filtered
SRR9954020,bittleston_M06,bittleston_M06_filtered,39,filtered
SRR9954023,bittleston_M04,bittleston_M04_filtered,54,filtered
SRR9954024,bittleston_M04,bittleston_M04_unfiltered,54,unfiltered
SRR9954026,bittleston_M04,bittleston_M04_unfiltered,51,unfiltered
SRR9954028,bittleston_M06,bittleston_M06_filtered,51,filtered
SRR9954030,bittleston_M02,bittleston_M02_unfiltered,27,unfiltered
SRR9954032,bittleston_M02,bittleston_M02_unfiltered,30,unfiltered
SRR9954034,bittleston_M02,bittleston_M02_unfiltered,33,unfiltered
SRR9954037,bittleston_M02,bittleston_M02_filtered,39,filtered
SRR9954038,bittleston_M02,bittleston_M02_unfiltered,39,unfiltered
SRR9954040,bittleston_M09,bittleston_M09_unfiltered,3,unfiltered
SRR9954042,bittleston_M09,bittleston_M09_filtered,0,filtered
SRR9954045,bittleston_M08,bittleston_M08_unfiltered,63,unfiltered
SRR9954046,bittleston_M08,bittleston_M08_filtered,60,filtered
SRR9954048,bittleston_M01,bittleston_M01_filtered,15,filtered
SRR9954052,bittleston_M10,bittleston_M10_unfiltered,6,unfiltered
SRR9954053,bittleston_M10,bittleston_M10_filtered,6,filtered
SRR9954055,bittleston_M03,bittleston_M03_filtered,57,filtered
SRR9954057,bittleston_M03,bittleston_M03_filtered,54,filtered
SRR9954059,bittleston_M03,bittleston_M03_filtered,63,filtered
SRR9954062,bittleston_M03,bittleston_M03_unfiltered,63,unfiltered
SRR9954064,bittleston_M03,bittleston_M03_unfiltered,15,unfiltered
SRR9954067,bittleston_M06,bittleston_M06_filtered,33,filtered
SRR9954069,bittleston_M06,bittleston_M06_filtered,30,filtered
SRR9954071,bittleston_M06,bittleston_M06_filtered,27,filtered
SRR9954073,bittleston_M06,bittleston_M06_filtered,24,filtered
SRR9954075,bittleston_M03,bittleston_M03_unfiltered,33,unfiltered
SRR9954077,bittleston_M01,bittleston_M01_unfiltered,36,unfiltered
